SITE,DNS Name,IP,Subnet Mask,Gateway,NTP Server,Software Version
RKIS,fsrkisshub01.ground.fedex.com,10.111.115.75,255.255.254.0,10.111.114.1,10.111.114.1,Version: 3.2.0   Build Info: 3RC
RLTO,fsrltoshub01.ground.fedex.com,10.79.35.75,255.255.254.0,10.79.34.1,10.79.34.1,Version: 3.2.0   Build Info: 3RC
RLTO,fsrltoshub01.ground.fedex.com,10.79.131.152,255.255.254.0,10.79.34.1,10.79.32.1,Version: 3.2.0   Build Info: 3RC
ROSV,fsrosvshub01.ground.fedex.com,10.84.195.75,255.255.254.0,10.84.194.1,10.84.195.25,Version: 3.2.0   Build Info: 3RC
SACR,fssacrshub01.ground.fedex.com,10.65.99.75,255.255.254.0,10.65.98.1,10.65.98.1,Version: 3.2.0   Build Info: 3RC
SALT,fssaltshub01.ground.fedex.com,10.68.99.75,255.255.254.0,10.68.98.1,10.68.98.1,Version: 3.2.0   Build Info: 3RC
SANA,fssanashub01.ground.fedex.com,10.102.35.75,255.255.254.0,10.102.34.1,10.102.34.1,Version: 3.2.0   Build Info: 3RC
SCHG,fsschgshub01.ground.fedex.com,10.67.3.75,255.255.254.0,10.67.2.1,10.67.2.1,Version: 3.2.0   Build Info: 3RC
SFRN,fssfrnshub01.ground.fedex.com,10.85.179.75,255.255.254.0,10.85.178.1,10.85.128.1,Version: 3.2.0   Build Info: 3RC
SPAR,fssparshub01.ground.fedex.com,10.66.67.75,255.255.254.0,10.66.66.1,10.66.66.1,Version: 3.2.0   Build Info: 3RC
SSTO,fssstoshub01.ground.fedex.com,10.65.131.75,255.255.254.0,10.65.130.1,10.65.136.1,Version: 3.2.0   Build Info: 3RC
STLO,fsstloshub01.ground.fedex.com,10.69.243.75,255.255.254.0,10.69.242.1,10.69.242.1,Version: 3.2.0   Build Info: 3RC
STPL,fsstplshub01.ground.fedex.com,10.64.83.75,255.255.254.0,10.64.82.1,10.64.82.1,Version: 3.2.0   Build Info: 3RC
SWND,fswndsshub01.ground.fedex.com,10.94.35.75,255.255.254.0,10.94.34.1,10.94.32.1,Version: 3.2.0   Build Info: 3RC
SYRA,fssyrashub01.ground.fedex.com,10.68.51.75,255.255.254.0,10.68.50.1,10.68.50.1,Version: 3.2.0   Build Info: 3RC
TAMP,fstampshub01.ground.fedex.com,10.86.227.75,255.255.254.0,10.86.226.1,10.86.226.1,Version: 3.2.0   Build Info: 3RC
TOLE,fstoleshub01.ground.fedex.com,10.91.83.75,255.255.254.0,10.91.82.1,10.91.82.1,Version: 3.2.0   Build Info: 3RC
WHLG,fswhlgshub01.ground.fedex.com,10.65.179.75,255.255.254.0,10.65.178.1,10.65.178.1,Version: 3.2.0   Build Info: 3RC
WOOD,fswoodshub01.ground.fedex.com,10.79.131.75,255.255.254.0,10.79.130.1,10.79.130.1,Version: 3.2.0   Build Info: 3RC
WOOD,fswoodshub01.ground.fedex.com,10.79.131.153,255.255.254.0,10.79.130.1,10.79.128.1,Version: 3.2.0   Build Info: 3RC
WPOR,fswporshub01.ground.fedex.com,10.85.19.75,255.255.254.0,10.85.18.1,10.85.18.1,Version: 3.2.0   Build Info: 3RC
WRLT,fswrltshub01.ground.fedex.com,10.82.115.75,255.255.254.0,10.82.114.1,10.65.130.1,Version: 3.2.0   Build Info: 3RC
