Site,Tunnel Name,Tunnel Type,VMS,MSC,CLV Setup,MSC firmware,Alternative name,MSC ETH IP,MSC Mask,MSC Gateway,MSC NTP,SSPC IP,SSPC Mask,SSPC Gateway,SSPC NTP
SALT,I5,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.68.108.231,255.255.255.0,10.68.108.1,10.68.96.1,10.68.99.146,255.255.254.0,10.68.98.1,10.68.96.1
SALT,I6,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.68.108.232,255.255.255.0,10.68.108.1,10.68.96.1,10.68.99.147,255.255.254.0,10.68.98.1,10.68.96.1
SANA,I1,UDS,,,,,,10.102.40.231,255.255.254.0,10.102.40.1,10.102.40.1,10.102.35.146,255.255.254.0,10.102.34.1,10.102.34.1
SCHG,I1 ,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.67.8.231 ,255.255.255.0,10.67.8.1 ,10.67.8.1 ,10.67.2.146 ,255.255.254.0,10.67.2.1 ,10.67.2.1
SFRN,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,T 1.41.17,,10.85.184.231,255.255.255.0,10.85.184.1,,10.85.179.146,255.255.254.0,10.85.178.1,
SPAR,I1,UDS,,,,,,10.66.72.231,255.255.254.0,10.66.72.1,10.66.72.1,10.66.67.146,255.255.254.0,10.66.66.1,10.66.66.1
SSTO,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,T 1.41.17,,10.65.136.231,255.255.254.0,10.65.136.1,10.65.136.1,10.65.131.146,255.255.254.0,10.65.130.1,10.65.130.1
STLO,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.69.248.231,255.255.255.0,10.69.248.1,10.69.240.1,10.69.243.146,255.255.254.0,10.69.242.1,10.69.240.1
STPL,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.92.231,255.255.255.0,10.64.92.1,10.64.88.1,10.64.83.146,255.255.254.0,10.64.82.1,10.64.88.1
STPL,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.92.232,255.255.255.0,10.64.92.1,10.64.88.1,10.64.83.147,255.255.254.0,10.64.82.1,10.64.88.1
