Site,Tunnel Name,Tunnel Type,VMS,MSC,CLV Setup,MSC firmware,Alternative name,MSC ETH IP,MSC Mask,MSC Gateway,MSC NTP,SSPC IP,SSPC Mask,SSPC Gateway,SSPC NTP
FTLA,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.88.8.231,255.255.255.0,10.88.8.1,10.88.0.1,10.88.3.146,255.255.254.0,10.88.2.1,10.88.0.1
FTWA,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,T 1.41.17,,10.67.40.231,255.255.254.0,10.67.40.1,10.67.40.1,10.67.35.146,255.255.254.0,10.67.34.1,10.67.34.1
FTWO,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,"6,7",10.64.76.231,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.146,255.255.254.0,10.64.66.1,10.64.64.1
FTWO,I7,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,"3,4,5",10.64.76.232,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.147,255.255.254.0,10.64.66.1,10.64.64.1
FTWO,I8,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,"1,2",10.64.76.233,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.148,255.255.254.0,10.64.66.1,10.64.64.1
GRNB,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.65.232.231,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.146,255.255.254.0,10.65.226.1,10.65.224.1
GRNB,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.65.232.232,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.147,255.255.254.0,10.65.226.1,10.65.224.1
GRNB,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.65.232.233,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.148,255.255.254.0,10.65.226.1,10.65.224.1
GRNB,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.65.232.237,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.149,255.255.254.0,10.65.226.1,10.65.224.1
HAGE,I1,UDS,,V 3.25.241       EPIC-2 UDS           V 3.2,,,C,10.92.248.230,255.255.255.0,10.92.248.1 ,10.92.240.1,10.92.243.150,255.255.254.0,10.92.242.1,10.92.240.1
HAGE,I2,UDS,,V 3.25.241       EPIC-2 UDS           V 3.2,,,C,10.92.248.229,255.255.255.0,10.92.248.1 ,10.92.240.1,10.92.243.120,255.255.254.0,10.92.242.1,10.92.240.1
HAGE,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.92.248.231,255.255.255.0,10.92.248.1,10.92.240.1,10.92.243.146,255.255.254.0,10.92.242.1,10.92.240.1
