Site,Tunnel,System Type,PE Type,MSC ,ICR-2,ICR -3,LED ,VMS,CLV490 ,CLV690,Mirror Type,CLV Setup,SOPAS,Scale Installed,MSC ETH1               IP,MSC ETH1        Mask,MSC ETH1 Gateway,MSC ETH2               IP,MSC ETH2        Mask,MSC ETH2 Gateway,SNTP IP,Solution Server   IP,Solution Server Mask,Solution Server Gateway,Solution Server SNTP IP,Hard Drives,Solution Server Image,Solution Server Software
DALL,PS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.69.216.186,255.255.255.0,10.69.216.1,10.69.217.186,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.101,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_03,1.3.0.1.RC
DALL,PS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.69.216.187,255.255.255.0,10.69.216.1,10.69.217.187,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.102,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_03,1.3.0.1.RC
DALL,PS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.69.216.188,255.255.255.0,10.69.216.1,10.69.217.188,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.103,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_03,1.3.0.1.RC
DALL,PS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.69.216.189,255.255.255.0,10.69.216.1,10.69.217.189,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.104,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_03,1.3.0.1.RC
DALL,PS5,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.69.216.190,255.255.255.0,10.69.216.1,10.69.217.190,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.105,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_03,1.3.0.1.RC
DALL,PS6,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.69.216.191,255.255.255.0,10.69.216.1,10.69.217.191,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.106,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_03,1.3.0.1.RC
DALL,PS7,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,,2.38.3 ,Yes,"10.69.216.192
","255.255.254.0
","10.69.216.1
","10.69.217.192
","255.255.254.0
","10.69.216.1
",10.69.208.1,"10.69.211.108
",255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,PS8,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,,2.38.3 ,Yes,10.69.216.193,255.255.254.1,10.69.216.1,10.69.217.193,255.255.254.0,10.69.216.1,10.69.208.1,10.69.211.109,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,PSR,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.195,255.255.255.0,10.69.216.1,10.69.217.195,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.110,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSA1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.196,255.255.255.0,10.69.216.1,10.69.217.196,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.111,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSA2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.197,255.255.255.0,10.69.216.1,10.69.217.197,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.112,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSA3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.198,255.255.255.0,10.69.216.1,10.69.217.198,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.113,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSB1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.199,255.255.255.0,10.69.216.1,10.69.217.199,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.114,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSB2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.200,255.255.255.0,10.69.216.1,10.69.217.200,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.115,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSB3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.201,255.255.255.0,10.69.216.1,10.69.217.201,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.116,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSC1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.202,255.255.255.0,10.69.216.1,10.69.217.202,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.117,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSC2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.203,255.255.255.0,10.69.216.1,10.69.217.203,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.118,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSC3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,,2.38.3 ,No,10.69.216.204,255.255.254.0,10.69.216.1,10.69.217.204,255.255.254.0,10.69.216.1,10.69.208.1, 10.69.211.119,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,SSC4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,,2.38.3 ,No, 10.69.216.205,255.255.254.0,10.69.216.1,10.69.217.205,255.255.254.0,10.69.216.1,10.69.208.1, 10.69.211.120,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,LC1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.216,255.255.255.0,10.69.216.1,10.69.217.216,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.131,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,LC2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.69.216.217,255.255.255.0,10.69.216.1,10.69.217.217,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.132,255.255.254.0,10.69.210.1,10.69.208.1,,9193313_04,1.3.0.1.RC
DALL,BS01CT1,ICR,None,V 3.25.241 BombaySorter V1.01,,V 4.0.3.19,V 1.49,None,, 1.4.0.10,None,,2.38.3 ,No,10.69.216.212,255.255.254.0,10.69.216.1,10.69.217.212,255.255.254.0,10.69.216.1,10.69.208.1,10.69.211.127,255.255.254.0,10.69.210.1,10.69.208.1,,9214351_2_Test,3.1.30.Test
DALL,BS01CT2,ICR,None,V 3.25.241 BombaySorter V1.01,,V 4.0.3.19,V 1.49,None,, 1.4.0.10,None,,2.38.3 ,No,10.69.216.213,255.255.254.0,10.69.216.1,10.69.217.213,255.255.254.0,10.69.216.1,10.69.208.1,10.69.211.128,255.255.254.0,10.69.210.1,10.69.208.1,,9214351_2_Test,3.1.30.Test
DENV,PS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.44.186,255.255.255.0,10.65.44.1,10.65.45.186,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.101,255.255.254.0,10.65.34.1,10.65.32.1,,9193313_04,1.3.0.1.RC
DENV,PS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.44.187,255.255.255.0,10.65.44.1,10.65.45.187,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.102,255.255.254.0,10.65.34.1,10.65.32.1,,9193313_04,1.3.0.1.RC
DENV,PS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.44.188,255.255.255.0,10.65.44.1,10.65.45.188,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.103,255.255.254.0,10.65.34.1,10.65.32.1,,9193313_04,1.3.0.1.RC
DENV,PS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.44.189,255.255.255.0,10.65.44.1,10.65.45.189,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.104,255.255.254.0,10.65.34.1,10.65.32.1,,9193313_04,1.3.0.1.RC
DENV,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.44.196,255.255.255.0,10.65.44.1,10.65.45.196,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.111,255.255.254.0,10.65.34.1,10.65.32.1,,9193313_04,1.3.0.1.RC
DENV,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.44.197,255.255.255.0,10.65.44.1,10.65.45.197,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.112,255.255.254.0,10.65.34.1,10.65.32.1,,9193313_04,1.3.0.1.RC
DENV,SS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.44.198,255.255.255.0,10.65.44.1,10.65.45.198,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.113,255.255.254.0,10.65.34.1,10.65.32.1,,9193313_04,1.3.0.1.RC
DENV,SS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.44.199,255.255.255.0,10.65.44.1,10.65.45.199,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.114,255.255.254.0,10.65.34.1,10.65.32.1,,9193313_04,1.3.0.1.RC
DETR,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.86.244.196 ,255.255.255.0 ,10.86.244.1 ,10.86.245.196 ,255.255.255.0 ,10.86.244.1 ,10.86.240.1,10.86.243.111 ,255.255.254.0,10.86.242.1 ,10.86.240.1,,9193313_03,1.3.0.1.RC
ECOL,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.82.8.196,255.255.254.0,10.82.8.1,10.82.9.196,255.255.254.0,10.82.8.1,10.82.0.1,10.82.3.111,255.255.254.0,10.82.2.1,10.82.0.1,,9193313_03,1.3.0.1.RC
ECOL,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.82.8.197,255.255.254.0,10.82.8.1,10.82.9.197,255.255.254.0,10.82.8.1,10.82.0.1,10.82.3.112,255.255.254.0,10.82.2.1,10.82.0.1,,9193313_03,1.3.0.1.RC
EHRB,SS1,ICR,WL27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,, 1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.83.136.196,255.255.254.0,10.83.136.1,10.83.137.196,255.255.254.0,10.83.136.1,10.83.136.1,10.83.131.111,255.255.254.0,10.83.130.1,10.83.131.1,,9193313_04,1.3.0.1.RC
EHRB,SS2,ICR,WL27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,, 1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.83.136.197,255.255.254.0,10.83.136.1,10.83.137.197,255.255.254.0,10.83.136.1,10.83.136.1,10.83.131.112,255.255.254.0,10.83.130.1,10.83.131.1,,9193313_04,1.3.0.1.RC
ESFS,SS01,ICR,WL27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,, 1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.109.24.196,255.255.254.0,10.109.24.1,10.109.25.196,255.255.254.0,10.109.24.1,10.109.24.1,10.109.19.111� ,255.255.254.0,10.109.18.1� ,10.109.18.1� ,,9193313_03,1.3.0.1.RC
ESFS,SS02,ICR,WL27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,, 1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.109.24.197,255.255.254.0,10.109.24.1,10.109.25.197,255.255.254.0,10.109.24.1,10.109.24.1,10.109.19.112� ,255.255.254.0,10.109.18.1� ,10.109.18.1� ,,9193313_03,1.3.0.1.RC
FRES,SS2,ICR,WL27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,, 1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.71.88.196,255.255.254.0,10.71.88.1,10.71.89.196,255.255.254.0,10.71.88.1,10.71.88.1,10.71.83.111,255.255.254.0,10.71.82.1,10.71.82.1,,9193313_03,1.3.0.1.RC
FTWA,SS1,ICR,WL27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,, 1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.67.40.196,255.255.254.0,10.67.40.1,10.67.40.198,255.255.254.0,10.67.40.1,10.67.40.1,10.67.35.111,255.255.254.0,10.67.34.1,10.67.34.1,,9193313_04,1.3.0.1.RC
FTWA,SS2,ICR,WL27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,, 1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.67.40.197,255.255.254.0,10.67.40.1,10.67.40.199,255.255.254.0,10.67.40.1,10.67.40.1,10.67.35.112,255.255.254.0,10.67.34.1,10.67.34.1,,9193313_04,1.3.0.1.RC
FTWO,PS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.76.186,255.255.255.0,10.64.76.1,10.64.77.186,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.101,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,PS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.76.187,255.255.255.0,10.64.76.1,10.64.77.187,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.102,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,PS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.76.188,255.255.255.0,10.64.76.1,10.64.77.188,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.103,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,PS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.76.189,255.255.255.0,10.64.76.1,10.64.77.189,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.104,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,PS5,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.76.190,255.255.255.0,10.64.76.1,10.64.77.190,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.105,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,PS6,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.76.191,255.255.255.0,10.64.76.1,10.64.77.191,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.106,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.76.196,255.255.255.0,10.64.76.1,10.64.77.196,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.111,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.76.197,255.255.255.0,10.64.76.1,10.64.77.197,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.112,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,SS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.76.198,255.255.255.0,10.64.76.1,10.64.77.198,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.113,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,SS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.76.199,255.255.255.0,10.64.76.1,10.64.77.199,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.114,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,SS5,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.76.200,255.255.255.0,10.64.76.1,10.64.77.200,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.115,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,SS6,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.76.201,255.255.255.0,10.64.76.1,10.64.77.201,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.116,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
FTWO,SS7,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.76.202,255.255.255.0,10.64.76.1,10.64.77.202,255.255.255.0,10.64.76.1,10.64.64.1,10.64.67.117,255.255.254.0,10.64.66.1,10.64.64.1,,9193313_04,1.3.0.1.RC
GRNB,PS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.232.186,255.255.255.0,10.65.232.1,10.65.233.186,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.93,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_03,1.3.0.1.RC
GRNB,PS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.232.187,255.255.255.0,10.65.232.1,10.65.233.187,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.95,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_03,1.3.0.1.RC
GRNB,PS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,,2.38.3 ,Yes,10.65.232.188,255.255.254.0,10.65.232.1,10.65.233.188,255.255.254.0,10.65.232.1,10.65.224.1,10.65.227.96,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_03,1.3.0.1.RC
GRNB,PS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,,2.38.3 ,Yes,10.65.232.191,255.255.254.0,10.65.232.1,10.65.233.191,255.255.254.0,10.65.232.1,10.65.224.1,10.65.227.100,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_03,1.3.0.1.RC
GRNB,PSR,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.232.195,255.255.255.0,10.65.232.1,10.65.233.195,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.97,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_03,1.3.0.1.RC
GRNB,SSA1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.232.196,255.255.255.0,10.65.232.1,10.65.233.196,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.99,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_04,1.3.0.1.RC
GRNB,SSA2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.232.197,255.255.255.0,10.65.232.1,10.65.233.197,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.101,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_03,1.3.0.1.RC
GRNB,SSB1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.232.198,255.255.255.0,10.65.232.1,10.65.233.198,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.103,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_03,1.3.0.1.RC
GRNB,SSB2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.232.190,255.255.255.0,10.65.232.1,10.65.233.190,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.98,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_03,1.3.0.1.RC
GRNB,SSB3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,,2.38.3 ,No,10.65.232.201,255.255.255.0,10.65.232.1,10.65.233.201,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.102,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_04,1.3.0.1.RC
GRNB,LC1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.232.216,255.255.255.0,10.65.232.1,10.65.233.216,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.107,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_04,1.3.0.1.RC
GRNB,LC2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.232.217,255.255.255.0,10.65.232.1,10.65.232.217,255.255.255.0,10.65.232.1,10.65.224.1,10.65.227.109,255.255.254.0,10.65.226.1,10.65.224.1,,9193313_04,1.3.0.1.RC
HAGE,PS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.92.248.186,255.255.254.0,10.92.248.1,10.92.249.186,255.255.254.0,10.92.248.1,10.92.240.1,10.92.243.101,255.255.254.0,10.92.242.1,10.92.240.1,,9193313_04,1.3.0.1.RC
HAGE,PS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.92.248.187,255.255.254.0,10.92.248.1,10.92.249.187,255.255.254.0,10.92.248.1,10.92.240.1,10.92.243.102,255.255.254.0,10.92.242.1,10.92.240.1,,9193313_04,1.3.0.1.RC
HAGE,PS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.92.248.188,255.255.254.0,10.92.248.1,10.92.249.188,255.255.254.0,10.92.248.1,10.92.240.1,10.92.243.103,255.255.254.0,10.92.242.1,10.92.240.1,,9193313_04,1.3.0.1.RC
