Site,Tunnel,System Type,PE Type,MSC ,ICR-2,ICR -3,LED ,VMS,CLV490 ,CLV690,Mirror Type,CLV Setup,SOPAS,Scale Installed,MSC ETH1               IP,MSC ETH1        Mask,MSC ETH1 Gateway,MSC ETH2               IP,MSC ETH2        Mask,MSC ETH2 Gateway,SNTP IP,Solution Server   IP,Solution Server Mask,Solution Server Gateway,Solution Server SNTP IP,Hard Drives,Solution Server Image,Solution Server Software
ATLA,SS6,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.188.201 ,255.255.255.0 ,10.64.188.1 ,110.64.189.201 ,255.255.255.0 ,10.64.188.1 ,10.64.176.1,10.64.179.116 ,255.255.254.0,10.64.178.1 ,10.64.176.1,,9193313_03,1.3.0.1.RC
AUST,SS01,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.111.136.196,255.255.254.0,10.111.136.1,10.111.137.196���� ,255.255.254.0,10.111.136.1,10.111.136.1,10.111.131.111,255.255.254.0,10.111.130.1,10.111.130.1,,9193313_04,1.3.0.1.RC
AUST,SS02,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.111.136.197,255.255.254.0,10.111.136.1,10.111.137.197���� ,255.255.254.0,10.111.136.1,10.111.136.1,10.111.131.112,255.255.254.0,10.111.130.1,10.111.130.1,,9193313_04,1.3.0.1.RC
BILL,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.65.200.196,255.255.254.0,10.65.200.1,10.65.201.196,255.255.255.0 ,10.65.200.1,10.65.193.1,10.65.195.111,255.255.254.0 ,10.65.194.1,10.65.193.1,,9193313_04,1.3.0.1.RC
BILL,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.65.200.197,255.255.254.0,10.65.200.1,10.65.201.197,255.255.255.0 ,10.65.200.1,10.65.193.1,10.65.195.112,255.255.254.0 ,10.65.194.1,10.65.193.1,,9193313_04,1.3.0.1.RC
BURB,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.95.120.196,255.255.255.0,10.95.120.1,10.95.121.196,255.255.255.0,10.95.120.1,10.95.112.1,10.95.115.111,255.255.254.0,10.95.114.1,10.95.112.1,,9193313_03,1.3.0.1.RC
BURB,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.95.120.197,255.255.255.0,10.95.120.1,10.95.121.197,255.255.255.0,10.95.120.1,10.95.112.1,10.95.115.112,255.255.254.0,10.95.114.1,10.95.112.1,,9193313_03,1.3.0.1.RC
CAMD,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.92.56.196,255.255.255.0,10.92.56.1,10.92.57.196,255.255.255.0,10.92.56.1,10.92.48.1,10.92.51.111,255.255.254.0,10.92.50.1,10.92.48.1,,9193313_04,1.3.0.1.RC
CAMD,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.92.56.197,255.255.255.0,10.92.56.1,10.92.57.197,255.255.255.0,10.92.56.1,10.92.48.1,10.92.51.112,255.255.254.0,10.92.50.1,10.92.48.1,,9193313_04,1.3.0.1.RC
CHAM,PS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.79.60.186,255.255.255.0,10.79.60.1,10.79.61.186,255.255.255.0,10.79.60.1,10.79.50.1,10.79.51.101,255.255.254.0,10.79.50.1,10.79.50.1,,9193313_04,1.3.0.1.RC
