Date/Time,Site Name,Tunnel Name,Tunnel Type,IP,Reachable?,,,,,,,
12-09-15_16:28,TOLE,PSR1,ASI,10.91.83.110,Reachable,,,,,,,
12-09-15_16:28,TOLE,SSA1,ASI,10.91.83.111,Reachable,,,,,,,
12-09-15_16:28,TOLE,SSA2,ASI,10.91.83.112,Reachable,,,,,,,
12-09-15_16:28,TOLE,SSB1,ASI,10.91.83.115,Reachable,,,,,,,
12-09-15_16:28,TOLE,SSB2,ASI,10.91.83.116,Reachable,,,,,,,
12-09-15_16:28,TOLE,SSC1,ASI,10.91.83.117,UNREACHABLE,,,,,,,
12-09-15_16:28,TOLE,SSC2,ASI,10.91.83.118,UNREACHABLE,,,,,,,
12-09-15_16:28,TOLE,LC01,ASI,10.91.83.131,Reachable,,,,,,,
12-09-15_16:28,TOLE,LC02,ASI,10.91.83.132,Reachable,,,,,,,
12-09-15_16:28,WOOD,AS01CT1,ASI,10.79.131.188,Reachable,,,,,,,
12-09-15_16:28,WOOD,AS01CT2,ASI,10.79.131.189,Reachable,,,,,,,
12-09-15_16:28,WOOD,SB02CT1,ASI,10.79.131.190,Reachable,,,,,,,
12-09-15_16:28,WOOD,SB02CT2,ASI,10.79.131.191,Reachable,,,,,,,
12-09-15_16:28,ALBA,SS1,ICR,10.84.131.111,Reachable,,,,,,,
12-09-15_16:28,ALBA,SS2,ICR,10.84.131.112,Reachable,,,,,,,
12-09-15_16:28,ANAH,SS1,ICR,10.80.19.111,Reachable,,,,,,,
12-09-15_16:28,ANAH,SS2,ICR,10.80.19.112,Reachable,,,,,,,
12-09-15_16:28,ATLA,PS1,ICR,10.64.179.101,Reachable,,,,,,,
12-09-15_16:28,ATLA,PS2,ICR,10.64.179.102,Reachable,,,,,,,
12-09-15_16:28,ATLA,PS3,ICR,10.64.179.103,Reachable,,,,,,,
12-09-15_16:28,ATLA,PS4,ICR,10.64.179.104,Reachable,,,,,,,
12-09-15_16:28,ATLA,SS1,ICR,10.64.179.111,Reachable,,,,,,,
12-09-15_16:28,ATLA,SS2,ICR,10.64.179.112,Reachable,,,,,,,
12-09-15_16:28,ATLA,SS3,ICR,10.64.179.113,Reachable,,,,,,,
12-09-15_16:28,ATLA,SS4,ICR,10.64.179.114,Reachable,,,,,,,
12-09-15_16:28,ATLA,SS5,ICR,10.64.179.115,Reachable,,,,,,,
12-09-15_16:28,ATLA,SS6,ICR,10.64.179.116,Reachable,,,,,,,
12-09-15_16:28,AUST,SS01,ICR,10.111.131.111,Reachable,,,,,,,
12-09-15_16:28,AUST,SS02,ICR,10.111.131.112,UNREACHABLE,,,,,,,
12-09-15_16:28,BILL,SS1,ICR,10.65.195.111,Reachable,,,,,,,
12-09-15_16:28,BILL,SS2,ICR,10.65.195.112,Reachable,,,,,,,
12-09-15_16:28,BURB,SS1,ICR,10.95.115.111,Reachable,,,,,,,
12-09-15_16:28,BURB,SS2,ICR,10.95.115.112,Reachable,,,,,,,
12-09-15_16:28,CAMD,SS1,ICR,10.92.51.111,Reachable,,,,,,,
12-09-15_16:28,CAMD,SS2,ICR,10.92.51.112,Reachable,,,,,,,
12-09-15_16:28,CHAM,PS1,ICR,10.79.51.101,Reachable,,,,,,,
12-09-15_16:28,CHAM,PS2,ICR,10.79.51.102,Reachable,,,,,,,
12-09-15_16:28,CHAM,PS3,ICR,10.79.51.103,Reachable,,,,,,,
12-09-15_16:28,CHAM,SS1,ICR,10.79.51.111,Reachable,,,,,,,
12-09-15_16:28,CHAM,SS2,ICR,10.79.51.112,Reachable,,,,,,,
12-09-15_16:28,CHAM,SS3,ICR,10.79.51.113,Reachable,,,,,,,
12-09-15_16:28,CHAM,SS4,ICR,10.79.51.114,Reachable,,,,,,,
12-09-15_16:28,CHAR,PS1,ICR,10.65.3.101,Reachable,,,,,,,
12-09-15_16:28,CHAR,PS2,ICR,10.65.3.102,Reachable,,,,,,,
12-09-15_16:28,CHAR,PS3,ICR,10.65.3.103,Reachable,,,,,,,
12-09-15_16:28,CHAR,PS4,ICR,10.65.3.104,Reachable,,,,,,,
12-09-15_16:28,CHAR,SS1,ICR,10.65.3.111,Reachable,,,,,,,
12-09-15_16:28,CHAR,SS2,ICR,10.65.3.112,Reachable,,,,,,,
12-09-15_16:28,CHAR,SS3,ICR,10.65.3.113,Reachable,,,,,,,
12-09-15_16:28,CHAR,SS4,ICR,10.65.3.114,Reachable,,,,,,,
12-09-15_16:28,CHAR,SS5,ICR,10.65.3.115,Reachable,,,,,,,
12-09-15_16:28,CHAR,SS6,ICR,10.65.3.116,Reachable,,,,,,,
12-09-15_16:28,CHND,SS01,ICR,10.70.147.111,UNREACHABLE,,,,,,,
12-09-15_16:28,CHND,SS02,ICR,10.70.147.112,UNREACHABLE,,,,,,,
12-09-15_16:28,CLEV,SS1,ICR,10.67.211.111,Reachable,,,,,,,
12-09-15_16:28,CLEV,SS2,ICR,10.67.211.112,Reachable,,,,,,,
12-09-15_16:28,COLO,GreenIn,ICR,10.64.131.151,Reachable,,,,,,,
12-09-15_16:28,COLO,GreenOut,ICR,10.64.131.153,Reachable,,,,,,,
12-09-15_16:28,COLO,BrownIn,ICR,10.64.131.155,Reachable,,,,,,,
12-09-15_16:28,COLO,BrownOut,ICR,10.64.131.157,Reachable,,,,,,,
12-09-15_16:28,COLO,RedIn,ICR,10.64.131.159,Reachable,,,,,,,
12-09-15_16:28,COLO,RedOut,ICR,10.64.131.161,Reachable,,,,,,,
12-09-15_16:28,COLO,BlueLower,ICR,10.64.131.163,Reachable,,,,,,,
12-09-15_16:28,COLO,BlueUpper,ICR,10.64.131.165,Reachable,,,,,,,
12-09-15_16:28,CRLS,SS1,ICR,10.79.83.111,Reachable,,,,,,,
12-09-15_16:28,CRLS,SS2,ICR,10.79.83.112,Reachable,,,,,,,
12-09-15_16:28,CRSN,SS1,ICR,10.81.147.111,Reachable,,,,,,,
