Site,Tunnel,System Type,Scale Installed
NFTW,,,
NIND,SS1,ICR,Yes
NIND,SS2,ICR,Yes
NOKY,PS1,ICR,Yes
NOKY,PS2,ICR,Yes
NOKY,PS3,ICR,Yes
NOKY,PSR,ICR,No
NOKY,SSA1,ICR,No
NOKY,SSA2,ICR,No
NOKY,SSB1,ICR,No
NOKY,SSB2,ICR,No
NORC,SS1,ICR,Yes
NORC,SS2,ICR,Yes
OKLA,SS1,ICR,Yes
OLIV,PS1,ICR,Yes
OLIV,PS2,ICR,Yes
OLIV,PS3,ICR,Yes
OLIV,PS4,ICR,
OLIV,PSR,ICR,No
OLIV,SSA1,ICR,No
OLIV,SSA2,ICR,No
OLIV,SSA3,,
OLIV,SSB1,ICR,No
OLIV,SSB2,ICR,No
OLIV,SSB3,,
OLIV,LC1,ICR,No
OLIV,LC2,ICR,
ORLA,PS1,ICR,Yes
ORLA,PS2,ICR,Yes
ORLA,PS3,ICR,Yes
ORLA,PS4,ICR,Yes
ORLA,SS1,ICR,No
ORLA,SS3,ICR,No
ORLA,SS4,ICR,No
ORLA,SS5,ICR,No
ORLA,SS6,ICR,No
PHOE,PS1,ICR,Yes
PHOE,PS2,ICR,Yes
PHOE,PS3,ICR,Yes
PHOE,PS4,ICR,Yes
PHOE,SS1,ICR,No
PHOE,SS2,ICR,No
PHOE,SS3,ICR,No
PHOE,SS4,ICR,No
PHOE,SS5,ICR,No
PHOE,SS6,ICR,No
PONT,SS1,ICR,No
PONT,SS2,ICR,No
PORT,PS1,ICR,Yes
PORT,PS2,ICR,Yes
PORT,PS3,ICR,Yes
PORT,PS4,ICR,Yes
PORT,PSR,ICR,No
PORT,A1,ICR,No
PORT,A2,ICR,No
PORT,B1,ICR,No
PORT,B2,ICR,No
PORT,B3,ICR,No
PORT,LC1,ICR,No
PORT,LC2,ICR,No
QUEE,SS1,ICR,Yes
RFRD,SS,,
RICH,SS1 ,ICR,Yes
RKIS,SS,ICR,
RKIS,SS,ICR,
